RecordId,DateTime,Site,ButterflyCount,Lat,Lon,WalkStage,Weekday
1983,2017-01-16 17:57:00, Lincoln Square,0,-37.8024,144.9632,4_1_2,Monday
1984,2017-01-16 17:13:00, Lincoln Square,0,-37.8022,144.9635,4_1_2,Monday
1985,2017-02-13 16:12:00, Lincoln Square,0,-37.8023,144.9633,4_1_2,Monday
1986,2017-02-13 15:40:00, Lincoln Square,0,-37.8023,144.9635,4_1_2,Monday
1987,2017-01-16 16:44:00, Lincoln Square,0,-37.8022,144.9629,4_1_2,Monday
1988,2017-01-27 12:39:00, Princes Park,0,-37.7796,144.9622,4_1_2,Friday
1989,2017-01-27 11:55:00, Princes Park,0,-37.7793,144.9621,4_1_2,Friday
1990,2017-01-27 12:24:00, Princes Park,0,-37.7794,144.9621,4_1_2,Friday
1991,2017-01-27 12:09:00, Princes Park,0,-37.7794,144.9621,4_1_2,Friday
1992,2017-01-28 15:56:00, Royal Park,0,-37.7912,144.9535,4_1_2,Saturday
1993,2017-01-28 16:12:00, Royal Park,0,-37.7917,144.9529,4_1_2,Saturday
1994,2017-02-21 15:12:00, Royal Park,0,-37.7907,144.954,4_1_2,Tuesday
1995,2017-02-05 13:40:00, Westgate Park,0,-37.832,144.9056,4_1_2,Sunday
1996,2017-03-07 15:03:00, Westgate Park,0,-37.8321,144.9046,4_1_2,Tuesday
1997,2017-03-07 14:58:00, Westgate Park,0,-37.8321,144.9047,4_1_2,Tuesday
1998,2017-03-07 14:55:00, Westgate Park,0,-37.8322,144.9047,4_1_2,Tuesday
1999,2017-03-07 15:15:00, Westgate Park,0,-37.832,144.9046,4_1_2,Tuesday
2000,2017-03-07 14:34:00, Westgate Park,0,-37.8322,144.9051,4_1_2,Tuesday
2001,2017-02-05 02:07:00, Westgate Park,0,-37.8321,144.9045,4_1_2,Sunday
2002,2017-02-26 14:40:00, Womens Peace Gardens,0,-37.7911,144.9237,4_1_2,Sunday
2003,2017-02-26 14:57:00, Womens Peace Gardens,0,-37.7908,144.9245,4_1_2,Sunday
2004,2017-02-26 14:38:00, Womens Peace Gardens,0,-37.791,144.9239,4_1_2,Sunday
2005,2017-02-26 14:49:00, Womens Peace Gardens,0,-37.7908,144.9242,4_1_2,Sunday
2006,2017-02-26 15:14:00, Womens Peace Gardens,0,-37.7912,144.9242,4_1_2,Sunday
2007,2017-02-03 10:50:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9786,4_2_2,Friday
2008,2017-02-03 11:13:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9782,4_2_2,Friday
2009,2017-02-03 11:09:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9785,4_2_2,Friday
2010,2017-02-03 10:32:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9788,4_2_2,Friday
2011,2017-02-03 11:44:00, Fitzroy-Treasury Gardens,0,-37.8146,144.9781,4_2_2,Friday
2012,2017-02-03 09:46:00, Fitzroy-Treasury Gardens,0,-37.8144,144.9793,4_2_2,Friday
2013,2017-02-03 12:11:00, Fitzroy-Treasury Gardens,0,-37.8142,144.9785,4_2_2,Friday
2014,2017-02-03 11:27:00, Fitzroy-Treasury Gardens,0,-37.8142,144.9783,4_2_2,Friday
